#{"t_start": 1777072485.1507761, "env_id": "CartPole-v1"}
r,l,t
240.0,240,32.976509
301.0,301,33.211009
255.0,255,33.41158
424.0,424,33.745839
140.0,140,33.879108
227.0,227,34.060117
310.0,310,36.592932
246.0,246,36.788385
329.0,329,37.067673
492.0,492,37.462815
428.0,428,37.883715
500.0,500,40.805646
338.0,338,41.157887
440.0,440,41.539912
439.0,439,41.912543
272.0,272,42.144745
500.0,500,45.722174
500.0,500,46.134542
500.0,500,46.483077
500.0,500,46.799099
500.0,500,47.116027
500.0,500,47.473357
500.0,500,47.803264
500.0,500,48.166405
500.0,500,48.48326
500.0,500,48.762399
